ENSG00000002834::ENSG00000263874	LASP1::LINC00672	7.76297	0.111111	6	107;0;	PASS:RT	17:38870058-38870257;17:38925771-38925890;
ENSG00000010671::ENSG00000126953	BTK::TIMM8A	56.4302	0.0304569	9	560;30;	PASS:RT	X:101348532-101349955;X:101348038-101348400;
ENSG00000022277::ENSG00000213714	RTF2::FAM209B	26.6831	0.037037	5	269;0;	PASS:RT	20:56471296-56473394;20:56533422-56533589;
ENSG00000023839::ENSG00000119929	ABCC2::CUTC	8.89437	0.0965517	7	6;138;	PASS:RT	10:99782828-99782876;10:99732244-99732408;
ENSG00000023892::ENSG00000112033	DEF6::PPARD	27.3525	0.0153453	3	338;52;	PASS:RT	6:35297852-35297951;6:35347066-35347149;
ENSG00000023902::ENSG00000136631	PLEKHO1::VPS45	144.34	0.0993789	24	95;387;	PASS:RT	1:150150909-150151057;1:150067794-150067949;
ENSG00000029153::ENSG00000165935	ARNTL2::SMCO2	60.9843	0.176	11	117;7;	PASS:GF	12:27390085-27390238;12:27470621-27473116;
ENSG00000048462::ENSG00000048471	TNFRSF17::SNX29	341.571	0.0940439	45	275;681;	PASS:GF	16:11965202-11965453;16:11999292-11999355;
ENSG00000058799::ENSG00000081870	YIPF1::HSPB11	41.2626	0.0253807	5	52;341;	PASS:RT	1:53882452-53883275;1:53923903-53923946;
ENSG00000066322::ENSG00000159479	ELOVL1::MED8	34.8482	0.0289855	4	105;170;	PASS:RT	1:43363402-43364141;1:43385054-43385105;
ENSG00000068489::ENSG00000167447	PRR11::SMG8	41.8187	0.0471698	5	117;94;	PASS:RT	17:59155723-59155804;17:59212340-59212485;
ENSG00000073605::ENSG00000172057	GSDMB::ORMDL3	70.3925	0.180095	19	86;124;	PASS:RT	17:39904597-39904963;17:39922146-39922680;
ENSG00000075790::ENSG00000105865	BCAP29::DUS4L	25.896	0.0764331	6	122;34;	PASS:RT	7:107580758-107580862;7:107563980-107564208;
ENSG00000085465::ENSG00000116455	OVGP1::WDR77	58.9706	0.0411765	7	12;327;	PASS:RT	1:111414321-111415343;1:111441210-111442092;
ENSG00000087077::ENSG00000087087	TRIP6::SRRT	8.20122	0.00823045	3	102;626;	PASS:RT	7:100867386-100867605;7:100875572-100875711;
ENSG00000088682::ENSG00000102978	COQ9::POLR2C	18.235	0.0622568	8	93;163;	PASS:RT	16:57451038-57451215;16:57462561-57462815;
ENSG00000088832::ENSG00000125775	FKBP1A::SDCBP2	28.2156	0.0151134	3	392;4;	PASS:RT	20:1392841-1392880;20:1309974-1310887;
ENSG00000088888::ENSG00000125779	MAVS::PANK2	23.5942	0.0361446	3	104;61;	PASS:RT	20:3846878-3846902;20:3907925-3908277;
ENSG00000089682::ENSG00000198088	RBM41::NUP62CL	39.2426	0.244726	29	211;25;	PASS:GF	X:107067141-107067692;X:107123490-107124331;
ENSG00000091428::ENSG00000152256	RAPGEF4::PDK1	24.6037	0.0406504	5	0;245;	PASS:RT	2:172795022-172795166;2:172556089-172556345;
ENSG00000099800::ENSG00000176619	TIMM13::LMNB2	21.0076	0.0584795	5	138;32;	PASS:RT	19:2426566-2427045;19:2427413-2427992;
ENSG00000100288::ENSG00000205560	CHKB::CPT1B	15.3412	0.028436	3	141;69;	PASS:RT	22:50578548-50579254;22:50568862-50569080;
ENSG00000102096::ENSG00000102100	PIM2::SLC35A2	31.6045	0.0104439	4	731;34;	PASS:RT	X:48914004-48914295;X:48903617-48905190;
ENSG00000102878::ENSG00000140939	HSF4::AC074143.1	0	0.327273	9	36;18;	PASS:GF	16:67166126-67166394;16:67170477-67170577;
ENSG00000104835::ENSG00000262484	SARS2::CCER2	10.0983	0.125	9	143;0;	PASS:RT	19:38915614-38915748;19:38908981-38909324;
ENSG00000105519::ENSG00000187650	CAPS::VMAC	52.7944	0.533333	8	15;14;	PASS:GF	19:5913696-5914309;19:5904871-5905119;
ENSG00000105520::ENSG00000183401	PLPPR2::CCDC159	55.5063	0.166667	6	6;65;	PASS:RT	19:11356801-11356970;19:11346520-11346633;
ENSG00000105576::ENSG00000132004	TNPO2::FBXW9	27.3525	0.0224719	3	245;21;	PASS:RT	19:12701327-12701454;19:12688916-12689289;
ENSG00000106305::ENSG00000157999	AIMP2::ANKRD61	28.2156	0.117647	3	50;0;	PASS:RT	7:6009274-6009668;7:6032839-6032939;
ENSG00000106404::ENSG00000214253	CLDN15::FIS1	0	0.227642	14	12;110;	PASS:GF	7:101233764-101234274;7:101240141-101240248;
ENSG00000106415::ENSG00000219545	GLCCI1::UMAD1	24.1844	0.0246154	4	159;165;	PASS:RT	7:8003905-8004676;7:7640936-7641264;
ENSG00000107201::ENSG00000197579	DDX58::TOPORS	33.455	0.0241692	4	152;178;	PASS:RT	9:32461676-32461928;9:32550773-32550967;
ENSG00000109063::ENSG00000133028	MYH3::SCO1	34.8482	0.0808081	4	14;84;	PASS:RT	17:10652176-10652562;17:10678269-10678410;
ENSG00000111348::ENSG00000139055	ARHGDIB::ERP27	58.9706	0.00852424	8	1866;10;	PASS:RT	12:14942619-14942720;12:14914043-14914781;
ENSG00000111540::ENSG00000123374	AC034102.1::CDK2	36.47	0.0295203	4	132;138;	PASS:RT	12:55986868-55987122;12:55966801-55967933;
ENSG00000111886::ENSG00000198833	GABRR2::UBE2J1	15.4009	0.0123457	5	4;805;	PASS:RT	6:89298454-89299860;6:89335303-89335430;
ENSG00000112339::ENSG00000118514	HBS1L::ALDH8A1	9.11751	0.0216606	3	273;3;	PASS:RT	6:134966328-134966472;6:134944059-134944675;
ENSG00000112511::ENSG00000237649	PHF1::KIFC1	26.9992	0.0145455	4	117;432;	PASS:RT	6:33412248-33412428;6:33399107-33399234;
ENSG00000113108::ENSG00000213523	APBB3::SRA1	287.043	0.286807	75	228;294;	PASS:GF	5:140557427-140558820;5:140550505-140550910;
ENSG00000113119::ENSG00000113141	TMCO6::IK	62.9981	0.0272418	12	33;847;	PASS:RT	5:140639468-140639730;5:140646814-140647518;
ENSG00000115128::ENSG00000115129	SF3B6::TP53I3	8.71205	0.0412371	8	281;106;	PASS:RT	2:24067587-24067850;2:24077301-24077760;
ENSG00000115514::ENSG00000144214	TXNDC9::LYG1	65.8364	0.29703	15	94;6;	PASS:GF	2:99321956-99322210;2:99284255-99284510;
ENSG00000115993::ENSG00000155749	TRAK2::FLACC1	60.59	0.290323	9	60;1;	PASS:GF	2:201381123-201381217;2:201309150-201309249;
ENSG00000117305::ENSG00000117308	HMGCL::GALE	8.79906	0.0540541	4	56;91;	PASS:RT	1:23804399-23804526;1:23795601-23796006;
ENSG00000117480::ENSG00000117481	FAAH::NSUN4	91.1751	0.215827	15	7;131;	PASS:GF	1:46402090-46402203;1:46340800-46340918;
ENSG00000121390::ENSG00000132950	PSPC1::ZMYM5	53.1023	0.0343053	10	329;253;	PASS:RT	13:19674755-19675316;13:19824919-19825234;
ENSG00000123349::ENSG00000139637	PFDN5::C12orf10	18.235	0.0238095	6	449;54;	PASS:RT	12:53296019-53296270;12:53299268-53300106;
ENSG00000124641::ENSG00000164663	MED20::USP49	84.6467	0.285714	9	32;30;	PASS:GF	6:41907095-41907286;6:41802598-41807010;
ENSG00000126261::ENSG00000142279	UBA2::WTIP	35.1962	0.0182232	4	438;0;	PASS:RT	19:34428413-34428569;19:34493037-34493126;
ENSG00000127952::ENSG00000189077	STYXL1::TMEM120A	42.1218	0.247423	12	41;55;	PASS:GF	7:75996441-75996598;7:75986988-75987286;
ENSG00000130592::ENSG00000130595	LSP1::TNNT3	125.996	0.013544	15	2209;5;	PASS:GF	11:1853131-1853196;11:1922856-1922905;
ENSG00000131373::ENSG00000206561	HACL1::COLQ	266.831	0.62	31	96;3;	PASS:GF	3:15563357-15563543;3:15465568-15466436;
ENSG00000131508::ENSG00000171604	UBE2D2::CXXC5	53.294	0.0219092	7	503;135;	PASS:RT	5:139561524-139561814;5:139680363-139681446;
ENSG00000132274::ENSG00000181074	TRIM22::OR52N4	28.3443	0.0146765	11	1498;0;	PASS:RT	11:5696581-5696652;11:5754692-5755957;
ENSG00000134086::ENSG00000254999	VHL::BRK1	19.3301	0.0143885	3	172;244;	PASS:RT	3:10151947-10152081;3:10115680-10115818;
ENSG00000134245::ENSG00000143079	WNT2B::CTTNBP2NL	0	0.217391	5	0;45;	PASS:GF	1:112491010-112491125;1:112396225-112396271;
ENSG00000135018::ENSG00000172159	UBQLN1::FRMD3	64.7573	0.0744186	8	210;4;	PASS:GF	9:83661807-83661938;9:83289737-83290726;
ENSG00000136271::ENSG00000158604	DDX56::TMED4	64.8473	0.131313	26	250;145;	PASS:GF	7:44565819-44566078;7:44580721-44581237;
ENSG00000136840::ENSG00000160408	ST6GALNAC4::ST6GALNAC6	0	0.0582524	3	89;13;	PASS:RT	9:127907762-127908582;9:127904920-127907022;
ENSG00000137496::ENSG00000137522	IL18BP::RNF121	8.5579	0.0294118	3	93;110;	PASS:RT	11:71999926-72000017;11:71929055-71929123;
ENSG00000138185::ENSG00000188649	ENTPD1::CC2D2B	135.861	0.0528893	27	1011;9;	PASS:GF	10:95756159-95756254;10:95911300-95911358;
ENSG00000138381::ENSG00000151687	ASNSD1::ANKAR	129.515	0.149123	17	190;37;	PASS:GF	2:189661460-189661609;2:189689529-189689845;
ENSG00000141994::ENSG00000212123	DUS3L::PRR22	75.2416	0.377778	17	88;1;	PASS:GF	19:5785384-5785519;19:5782959-5784054;
ENSG00000143178::ENSG00000213064	TBX19::SFT2D2	61.5934	0.176471	9	7;94;	PASS:RT	1:168291159-168291423;1:168226027-168226141;
